Average retail price of electricity Texas monthly
https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.PRICE.TX-ALL.M~ELEC.PRICE.TX-RES.M~ELEC.PRICE.TX-COM.M~ELEC.PRICE.TX-IND.M&columnchart=ELEC.PRICE.TX-ALL.M~ELEC.PRICE.TX-RES.M~ELEC.PRICE.TX-COM.M~ELEC.PRICE.TX-IND.M&map=ELEC.PRICE.US-ALL.M&freq=M&start=200101&end=202303&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
14:48:32 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,all sectors cents per kilowatthour,residential cents per kilowatthour,commercial cents per kilowatthour,industrial cents per kilowatthour
Mar 2023,9.92,14.46,9.13,6.46
Feb 2023,10.48,14.63,9.41,6.72
Jan 2023,10.36,14.18,9.05,6.93
Dec 2022,10.59,14.26,9.34,7.37
Nov 2022,10.32,14.77,9.2,7.02
Oct 2022,10.62,14.71,9.55,7.21
Sep 2022,11.06,14.52,9.72,7.67
Aug 2022,11.1,13.9,10.09,7.62
Jul 2022,11.22,13.5,9.94,8.42
Jun 2022,10.64,13.29,9.79,7.49
May 2022,10.39,13.15,9.42,8.07
Apr 2022,9.44,13.09,8.53,6.91
Mar 2022,9.33,12.82,8.56,6.47
Feb 2022,9.47,12.3,8.52,6.44
Jan 2022,8.85,12.28,7.85,5.72
Dec 2021,8.51,12.56,7.98,5.48
Nov 2021,8.86,12.78,8.37,6.06
Oct 2021,8.9,12.54,8.08,6.1
Sep 2021,9.11,12.26,8.09,5.97
Aug 2021,8.99,11.94,7.98,5.81
Jul 2021,8.62,11.73,7.97,5.13
Jun 2021,8.53,12.04,7.52,5.23
May 2021,8.35,12.09,8.46,4.54
Apr 2021,9.48,12.08,10.4,6.2
Mar 2021,10.44,11.7,10.58,8.52
Feb 2021,12.58,12.69,13.68,11.25
Jan 2021,8.15,11.35,7.47,4.94
Dec 2020,8.03,11.59,7.53,4.79
Nov 2020,8.07,11.93,7.8,4.86
Oct 2020,8.17,11.85,7.47,5.08
Sep 2020,8.68,11.77,7.8,5.1
Aug 2020,8.75,11.5,7.64,5.41
Jul 2020,8.62,11.59,7.35,5.1
Jun 2020,8.58,11.76,7.56,5.02
May 2020,8.33,11.79,7.57,4.94
Apr 2020,8.23,12.04,7.67,5.02
Mar 2020,8.17,11.81,7.71,5.2
Feb 2020,8.33,11.72,7.73,5.26
Jan 2020,8.11,11.46,7.43,5.05
Dec 2019,8.28,11.71,7.98,5.02
Nov 2019,8.52,11.99,8.14,5.58
Oct 2019,8.66,11.81,8.06,5.55
Sep 2019,9.09,11.81,8.42,5.8
Aug 2019,9.45,11.76,8.33,7.26
Jul 2019,8.65,11.71,7.82,5.26
Jun 2019,8.47,11.8,7.88,5.01
May 2019,8.29,12.01,7.85,5.14
Apr 2019,8.16,12,8.09,5.03
Mar 2019,8.34,11.6,8.07,5.27
Feb 2019,8.34,11.6,8.03,5.07
Jan 2019,8.37,11.44,7.93,5.14
Dec 2018,8.03,11,7.74,4.97
Nov 2018,8.35,11.6,8.27,5.3
Oct 2018,8.36,11.5,8,5.26
Sep 2018,8.58,11.39,8.03,5.19
Aug 2018,8.82,11.27,8.24,5.62
Jul 2018,8.82,11.09,8.08,6.05
Jun 2018,8.77,11.2,8.21,5.75
May 2018,8.38,11.36,8.2,5.43
Apr 2018,8.13,11.39,8.2,5.07
Mar 2018,8.23,11.35,8.36,5.11
Feb 2018,8.46,10.87,8.55,5.31
Jan 2018,8.49,10.63,8.15,5.5
Dec 2017,8.07,10.89,8.08,5.12
Nov 2017,8.17,11.23,8.31,5.17
Oct 2017,8.35,11.09,8.14,5.32
Sep 2017,8.57,11.12,8.16,5.43
Aug 2017,8.6,10.95,8.17,5.39
Jul 2017,8.62,10.87,8.24,5.52
Jun 2017,8.55,11.03,8.37,5.43
May 2017,8.33,11.05,8.27,5.53
Apr 2017,8.25,11.09,8.3,5.43
Mar 2017,8.14,11.12,8.32,5.25
Feb 2017,8.33,11.16,8.48,5.3
Jan 2017,8.32,10.74,8.32,5.34
